Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Author Gender
54922397,Reenkarnasyon Blues,Michael Poore,"Poore, Michael",Kıvanç Güney,"=""6051981209""","=""9786051981208""",3,3.88,Domingo Yayınevi,Paperback,408,2020.0,2017.0,2024/01/31,2024/01/14,,,read,,,,1,0,M
56654511,Beyaz Kitap,Han Kang,"Kang, Han",S. Göksel Türközü,"=""6050605653""","=""9786050605655""",5,3.82,April Yayıncılık,Paperback,152,2021.0,2016.0,2024/01/12,2024/01/09,,,read,,,,1,0,F
59915572,Hayatta Kalanlar,Alex Schulman,"Schulman, Alex",Zeynep Tamer,"=""6050843848""","=""9786050843842""",5,3.68,Timaş Yayınları,Paperback,224,2022.0,2020.0,2024/01/08,2024/01/09,,,read,,,,1,0,M
193724320,Afili Hafiye,Murat Menteş,"Menteş, Murat",,"=""6254498219""","=""9786254498213""",0,3.67,Alfa Yayınları,Paperback,312,2023.0,,2023/11/03,2023/11/03,,,read,,,,1,0,M
52891408,Üç Köşeli Dünya,Natsume Sōseki,"Sōseki, Natsume",Burcu Erol,"=""6058016673""","=""9786058016675""",0,3.77,Konu Kitap,Paperback,168,2020.0,1906.0,2023/10/28,2023/10/19,,,read,,,,1,0,M
18585905,Yavru Ceylan,Magda Szabó,"Szabó, Magda",Yasemin Pichler,"=""9750852958""","=""9789750826061""",0,4.19,Yapı Kredi Yayınları,Paperback,229,2013.0,1959.0,2023/10/19,2023/10/13,,,read,,,,1,0,F
48575209,Doğum Lekesi,Elif Hümeyra Aydın,"Aydın, Elif Hümeyra",,"=""975995978X""","=""9789759959784""",0,3.21,Dergah Yayınları,Paperback,95,2019.0,2019.0,2023/10/13,2023/10/12,,,read,,,,1,0,F
58110378,Hakim'in Yolculuğu 3: Makedonya'dan Fransa'ya,Fabien Toulmé,"Toulmé, Fabien",Damla Kellecioğlu,"=""605748164X""","=""9786057481641""",0,4.81,Desen Yayınları,Paperback,256,2021.0,2020.0,2023/10/11,2023/10/11,,,read,,,,1,0,M
57314925,Hakim'in Yolculuğu 2: Türkiye'den Yunanistan'a,Fabien Toulmé,"Toulmé, Fabien",Damla Kellecioğlu,"=""6055678985""","=""9786055678982""",0,4.75,Desen Yayınları,Paperback,264,2021.0,2019.0,2023/10/08,2023/10/08,,,read,,,,1,0,M
12282463,Yıldızın Saati,Clarice Lispector,"Lispector, Clarice",Hamide Koyukan,"=""9755331441""","=""9789755331447""",0,4.1,İmge Kitabevi,Paperback,90,1996.0,1977.0,2023/10/07,2023/10/07,,,read,,,,1,0,F
53666252,Halas - Kurtuluş,Mehmet Rauf,"Rauf, Mehmet",Emin Nedret İşli,"=""6257070376""","=""9786257070379""",0,3.66,Türkiye İş Bankası Kültür Yayınları,Paperback,276,2020.0,,2023/09/11,2023/09/11,,,read,,,,1,0,M
149067255,Vahşi Kadınlar,Aoko Matsuda,"Matsuda, Aoko",Nilay Çalşimşek,"=""6052651520""","=""9786052651520""",0,3.77,İthaki Yayınları,Paperback,200,2023.0,2016.0,2023/08/24,2023/08/24,,,read,,,,1,0,F
11029733,İnsan Ne İle Yaşar?,Leo Tolstoy,"Tolstoy, Leo",Lev Tolstoy,"=""9944425354""","=""9789944425353""",0,3.99,Bilge Kültür Sanat,Paperback,126,2007.0,1885.0,2023/08/16,2023/08/15,,,read,,,,1,0,M
17346068,Hızlandıkça Azalıyorum,Kjersti Annesdatter Skomsvold,"Skomsvold, Kjersti Annesdatter",Deniz Canefe,"=""6058663520""","=""9786058663527""",0,3.67,Jaguar Kitap,Paperback,136,2012.0,2009.0,2023/08/13,2023/08/15,,,read,,,,1,0,F
58270647,Erkeklerden Nefret Ediyorum,Pauline Harmange,"Harmange, Pauline",Neslihan Elagöz,"=""6057462955""","=""9786057462954""",0,3.82,Mundi Kitap,Paperback,104,2021.0,2020.0,2023/08/10,2023/08/10,,,read,,,,1,0,F
42850737,Kuytu,Carys Davies,"Davies, Carys",Yasemin Akbaş,"=""6056789462""","=""9786056789465""",0,4.07,Yüz Kitap,Paperback,136,2018.0,2014.0,2023/08/10,2023/08/10,,,read,,,,1,0,F
62427558,Boş Dolaplar,Annie Ernaux,"Ernaux, Annie",Siren İdemen,"=""9750758382""","=""9789750758386""",0,3.94,Can Yayınları,Paperback,168,2022.0,1974.0,2023/08/07,2023/08/07,,,read,,,,1,0,F
27775941,Uzak Şehir,Levent Cantek,"Cantek, Levent",Berat Pekmezci,"=""9750518519""","=""9789750518515""",0,3.58,İletişim Yayıncılık,Paperback,124,2015.0,2015.0,2023/07/17,2023/07/18,,,read,,,,1,0,M
57301414,Bir Gün Kediler Dünyadan Yok Olsaydı,Genki Kawamura,"Kawamura, Genki",Deniz Topaktaş,"=""6050981531""","=""9786050981537""",0,3.79,Dex Kitap,Paperback,184,2021.0,2012.0,2023/07/17,2023/07/16,,,read,,,,1,0,M
49631694,Tayga Sendromu,Cristina Rivera Garza,"Garza, Cristina Rivera",Banu Karakaş,"=""6056962105""","=""9786056962103""",0,3.47,Yüz Kitap,Paperback,83,2019.0,2012.0,2023/06/19,2023/06/19,,,read,,,,1,0,F
59350012,Zamir,Hakan Günday,"Günday, Hakan",,"=""6258495427""","=""9786258495423""",0,3.79,Doğan Kitap,Paperback,368,2021.0,2021.0,2023/02/27,2023/06/07,,,read,,,,1,0,M
40504699,Yunan Dansçı Kız,Arthur Schnitzler,"Schnitzler, Arthur",Aydanur Çevik,"=""6059315852""","=""9786059315852""",0,3.22,Alakarga,Paperback,127,2018.0,1902.0,2023/02/27,2023/06/07,,,read,,,,1,0,M
23643466,Ufak Tefek Olaylar,Daniil Kharms,"Kharms, Daniil",Osman Çakmakçı,"=""605994910X""","=""9786059949101""",0,4.2,Encore Yayınları,Paperback,96,2014.0,1939.0,2023/01/30,2023/06/07,,,read,,,,1,0,M
31146709,Sputnik Sevgilim,Haruki Murakami,"Murakami, Haruki",Ali Volkan Erdemir,"=""6050935726""","=""9786050935721""",0,3.83,Doğan Kitap,Paperback,224,2016.0,1999.0,2023/02/27,2023/06/07,,,read,,,,1,0,M
33802270,Otel Paranoya,Hakan Bıçakcı,"Bıçakcı, Hakan",Berat Pekmezci,"=""9750521269""","=""9789750521263""",0,3.43,İletişim Yayınları,Hardcover,40,2017.0,2017.0,2023/03/30,2023/06/07,,,read,,,,1,0,M
41590091,Nohut Oda,Melisa Kesmez,"Kesmez, Melisa",,"=""9755709355""","=""9789755709352""",0,4.28,Sel Yayıncılık,Paperback,125,2018.0,2018.0,2023/02/27,2023/06/07,,,read,,,,1,0,F
17284053,Nereye Gidiyoruz Baba?,Jean-Louis Fournier,"Fournier, Jean-Louis",Aslı Genç,"=""""","=""""",0,3.92,Yapı Kredi Yayınları,Paperback,104,2009.0,2008.0,2023/01/30,2023/06/07,,,read,,,,1,0,M
58325587,Ihtizar,Mehmet Rauf,"Rauf, Mehmet",,"=""9750744721""","=""9789750744723""",0,3.12,Can Yayinlari,Paperback,173,2020.0,,2023/05/30,2023/06/07,,,read,,,,1,0,M
49680792,Hesap Lütfen,Ceylan Özge Kunduz,"Kunduz, Ceylan Özge",Elif Yirmibeşoğlu,"=""605695613X""","=""9786056956133""",0,3.71,Mundi,Paperback,152,2019.0,,2023/01/30,2023/06/07,,,read,,,,1,0,F
56126018,Hakim'in Yolculuğu 1: Suriye'den Türkiye'ye,Fabien Toulmé,"Toulmé, Fabien",Damla Kellecioğlu,"=""6055678977""","=""9786055678975""",0,4.57,Desen Yayınları,Paperback,272,2020.0,2018.0,2023/06/06,2023/06/07,,,read,,,,1,0,M
7696210,Bu Kitabı Çalın,Murat Gülsoy,"Gülsoy, Murat",,"=""9758440721""","=""9789758440726""",0,3.71,Can Yayınları,Paperback,189,2000.0,2000.0,2023/04/30,2023/06/07,,,read,,,,1,0,M
13174468,Boş Zaman,Hakan Bıçakcı,"Bıçakcı, Hakan",,"=""9750508890""","=""9789750508899""",0,3.48,İletişim Yayıncılık ,Paperback,147,2011.0,2004.0,2023/04/30,2023/06/07,,,read,,,,1,0,M
63110722,Bir Gün Bunu Konuşmayı Bırakacağız Ama Bugün Değil,Arina Obuh,"Obuh, Arina",Uğur Büke,"=""""","=""""",0,2.81,Alfa Yayınları,Paperback,218,2022.0,,2023/02/27,2023/06/07,,,read,,,,1,0,F
59590963,Bilenler İçin Zor Bir Durum,Timothy Dexter,"Dexter, Timothy",Atakan Karaduman,"=""6057400410""","=""9786057400413""",0,3.75,Altıkırkbeş Yayınları,Paperback,64,2021.0,1802.0,2023/01/30,2023/06/07,,,read,,,,1,0,M
7695430,Beş Şehir,Ahmet Hamdi Tanpınar,"Tanpınar, Ahmet Hamdi",,"=""9759952440""","=""9789759952440""",0,3.89,Dergah Yayınları,Paperback,232,2013.0,1946.0,2023/05/30,2023/06/07,,,read,,,,1,0,M
43239546,Bağlar,Domenico Starnone,"Starnone, Domenico",Meryem Mine Çilingiroğlu,"=""6056789470""","=""9786056789472""",0,3.95,Yüz Kitap,Paperback,144,2018.0,2014.0,2023/05/30,2023/06/07,,,read,,,,1,0,M
15758814,Asla Kimseyi Öldürmedi Benim Babam,Jean-Louis Fournier,"Fournier, Jean-Louis",Zafer Demez,"=""9750815556""","=""9789750815553""",0,3.94,Yapı Kredi Yayınları,Paperback,84,2009.0,1999.0,2023/01/30,2023/06/07,,,read,,,,1,0,M
